Title,Date
"Dronninggambit: Miniserie: Sluttspill","28.01.2024"
"Dronninggambit: Miniserie: Hengeparti","28.01.2024"
"Dronninggambit: Miniserie: Gaffel","28.01.2024"
"Dronninggambit: Miniserie: Midtparti","26.01.2024"
"Dronninggambit: Miniserie: Doble bønder","25.01.2024"
"Dronninggambit: Miniserie: Bytter","25.01.2024"
"Dronninggambit: Miniserie: Åpninger","22.01.2024"
"Spioner: På hemmelig oppdrag: Sesong 1: Operasjon Just Cause","20.01.2024"
"Spioner: På hemmelig oppdrag: Sesong 1: Operasjon Jawbreaker","20.01.2024"
"The Tourist","19.01.2024"
"Et amerikansk mareritt: Sesong 1: Del 3: De andre","18.01.2024"
"Et amerikansk mareritt: Sesong 1: Del 2: Gone Girl","18.01.2024"
"Et amerikansk mareritt: Sesong 1: Del 1: Kjæresten","18.01.2024"
"Formula 1: Drive to Survive: Sesong 1: All to Play For","18.01.2024"
"Mr. & Mrs. Smith","17.01.2024"
"Night Stalker: Jakten på en seriemorder: Miniserie: Forbryterjakt","14.01.2024"
"Night Stalker: Jakten på en seriemorder: Miniserie: Lås døren","14.01.2024"
"Night Stalker: Jakten på en seriemorder: Miniserie: Hvem som helst kan bli neste offer","14.01.2024"
"Den fantastiske historien om Henry Sugar","11.01.2024"
"Snøsamfunnet","09.01.2024"
"Jack Reacher: Vend aldri tilbake","09.01.2024"
"Night Stalker: Jakten på en seriemorder: Miniserie: En djevel i englenes by","03.01.2024"
"Top Gun: Maverick","31.12.2023"
"Our Planet – Vårt utrolige hjem: Our Planet 2 – Vårt utrolige hjem: Kapittel 1: En verden på farten","14.12.2023"
"Transformers: Dark of the Moon","10.12.2023"
"Travis Scott: Look Mom I Can Fly","18.11.2023"
"Black Mirror: Sesong 3: Shut Up and Dance","11.10.2023"
"Black Mirror: Sesong 6: Joan Is Awful","11.10.2023"
"Young Sheldon: Sesong 2: Family Dynamics and a Red Fiero","06.10.2023"
"Young Sheldon: Sesong 2: An 8-Bit Princess and a Flat Tire Genius","06.10.2023"
"Young Sheldon: Sesong 2: Carbon Dating and a Stuffed Raccoon","04.10.2023"
"Young Sheldon: Sesong 2: Seven Deadly Sins and a Small Carl Sagan","04.10.2023"
"Young Sheldon: Sesong 2: A Research Study and Czechoslovakian Wedding Pastries","03.10.2023"
"Young Sheldon: Sesong 2: A Financial Secret and Fish Sauce","01.10.2023"
"Young Sheldon: Sesong 2: A Crisis of Faith and Octopus Aliens","01.10.2023"
"Young Sheldon: Sesong 2: A Rival Prodigy and Sir Isaac Neutron","24.09.2023"
"Young Sheldon: Sesong 2: A High-Pitched Buzz and Training Wheels","24.09.2023"
"Young Sheldon: Sesong 1: Vanilla Ice Cream, Gentlemen Callers, and a Dinette Sett","24.09.2023"
"Young Sheldon: Sesong 1: Summer Sausage, a Pocket Poncho, and Tony Danza","24.09.2023"
"Young Sheldon: Sesong 1: A Dog, a Squirrel, and a Fish Named Fish","24.09.2023"
"Young Sheldon: Sesong 1: Gluons, Guacamole, and the Color Purple","24.09.2023"
"The Boy Who Harnessed the Wind","24.09.2023"
"Coach Carter","24.09.2023"
"Sannsynligheten for kjærlighet ved første blikk","23.09.2023"
