Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Eirik :)),2024-03-25 18:35:10,00:46:34,,Breaking Bad: Sesong 2: 4 Days Out (Episode 9),,Apple Apple TV 4K 2nd Gen Apple TV,00:46:34,00:46:34,NO (Norway)
Eirik :)),2024-03-25 18:21:58,00:10:04,,Breaking Bad: Sesong 2: Better Call Saul (Episode 8),,Apple Apple TV 4K 2nd Gen Apple TV,00:46:42,00:46:42,NO (Norway)
Eirik :)),2024-03-25 16:57:16,00:24:48,,Breaking Bad: Sesong 2: Better Call Saul (Episode 8),,Apple Apple TV 4K 2nd Gen Apple TV,00:36:38,Not latest view,NO (Norway)
Eirik :)),2024-03-25 16:50:07,00:05:03,,Breaking Bad: Sesong 2: Better Call Saul (Episode 8),,Safari MAC (Cadmium),00:11:52,Not latest view,NO (Norway)
Eirik :)),2024-03-25 16:21:20,00:00:03,,2 Fast 2 Furious,,Safari MAC (Cadmium),00:48:15,00:48:15,NO (Norway)
Eirik :)),2024-03-25 16:19:10,00:00:05,Autoplayed: user action: None; ,Fast Five_hook_primary_16x9,HOOK,Safari MAC (Cadmium),00:00:05,00:00:05,NO (Norway)
Eirik :)),2024-03-25 16:19:04,00:00:07,Autoplayed: user action: None; ,Stranger Things 4 (Klipp): Stranger Things,HOOK,Safari MAC (Cadmium),00:00:07,00:00:07,NO (Norway)
Eirik :)),2024-03-24 21:10:19,00:06:49,,Breaking Bad: Sesong 2: Better Call Saul (Episode 8),,Apple Apple TV 4K 2nd Gen Apple TV,00:06:49,Not latest view,NO (Norway)
Eirik :)),2024-03-24 20:47:55,00:00:01,,Stranger Things: Sesong 1: Will Byers forsvinner (Episode 1),,Apple Apple TV 4K 2nd Gen Apple TV,00:00:01,00:00:01,NO (Norway)
Eirik :)),2024-03-24 20:46:25,00:00:50,Autoplayed: user action: None; ,Stranger Things 4 (Klipp): Stranger Things,HOOK,Apple Apple TV 4K 2nd Gen Apple TV,00:00:50,00:00:50,NO (Norway)
Eirik :)),2024-03-24 20:46:07,00:00:06,Autoplayed: user action: None; ,Ford v. Ferrari_hook_01_16x9,HOOK,Apple Apple TV 4K 2nd Gen Apple TV,00:00:06,00:00:06,NO (Norway)
Eirik :)),2024-03-10 22:02:51,00:00:09,Autoplayed: user action: None; ,Sesong 1 (Klipp): The Gentlemen,HOOK,Safari MAC (Cadmium),00:00:09,00:00:09,NO (Norway)
